Timestamp,Human readable date,38001c001851373237343331_pedestrians,context_38001c001851373237343331_pedestrians
1.58584E+12,4/2/20 8:40,162,{}
1.58584E+12,4/2/20 8:40,163,{}
1.58584E+12,4/2/20 8:40,164,{}
1.58584E+12,4/2/20 8:41,165,{}
1.58584E+12,4/2/20 8:43,166,{}
1.58584E+12,4/2/20 8:43,167,{}
1.58584E+12,4/2/20 8:45,168,{}
1.58584E+12,4/2/20 8:45,169,{}
1.58584E+12,4/2/20 8:46,170,{}
1.58584E+12,4/2/20 8:46,171,{}
1.58584E+12,4/2/20 8:46,172,{}
1.58584E+12,4/2/20 8:47,173,{}
1.58584E+12,4/2/20 8:47,174,{}
1.58584E+12,4/2/20 8:47,175,{}
1.58584E+12,4/2/20 8:47,176,{}
1.58584E+12,4/2/20 8:49,177,{}
1.58584E+12,4/2/20 8:49,178,{}
1.58584E+12,4/2/20 8:50,179,{}
1.58584E+12,4/2/20 8:51,180,{}
1.58584E+12,4/2/20 8:51,181,{}
1.58584E+12,4/2/20 8:51,182,{}
1.58584E+12,4/2/20 8:52,183,{}
1.58584E+12,4/2/20 8:52,184,{}
1.58584E+12,4/2/20 8:53,185,{}
1.58584E+12,4/2/20 8:53,186,{}
1.58584E+12,4/2/20 8:53,187,{}
1.58584E+12,4/2/20 8:53,188,{}
1.58584E+12,4/2/20 8:54,189,{}
1.58584E+12,4/2/20 8:54,190,{}
1.58584E+12,4/2/20 8:55,191,{}
1.58584E+12,4/2/20 8:55,192,{}
1.58584E+12,4/2/20 8:55,193,{}
1.58584E+12,4/2/20 8:56,194,{}
1.58584E+12,4/2/20 8:57,195,{}
1.58584E+12,4/2/20 8:58,196,{}
1.58584E+12,4/2/20 8:59,197,{}
1.58584E+12,4/2/20 9:09,198,{}
1.58584E+12,4/2/20 9:10,199,{}
1.58584E+12,4/2/20 9:17,200,{}
1.58584E+12,4/2/20 9:18,201,{}
1.58584E+12,4/2/20 9:20,202,{}
1.58584E+12,4/2/20 9:29,203,{}
1.58584E+12,4/2/20 9:29,204,{}
1.58585E+12,4/2/20 9:30,205,{}
1.58585E+12,4/2/20 9:32,206,{}
1.58585E+12,4/2/20 9:37,207,{}
1.58585E+12,4/2/20 9:38,208,{}
1.58585E+12,4/2/20 9:41,209,{}
1.58585E+12,4/2/20 9:52,210,{}
1.58585E+12,4/2/20 9:53,211,{}
1.58585E+12,4/2/20 10:07,212,{}
1.58585E+12,4/2/20 10:09,213,{}
1.58585E+12,4/2/20 10:09,214,{}
1.58585E+12,4/2/20 10:10,215,{}
1.58585E+12,4/2/20 10:11,216,{}
1.58585E+12,4/2/20 10:12,217,{}
1.58585E+12,4/2/20 10:16,218,{}
1.58585E+12,4/2/20 10:34,219,{}
1.58585E+12,4/2/20 10:36,220,{}
1.58585E+12,4/2/20 10:49,223,{}
1.58585E+12,4/2/20 10:53,224,{}
1.58585E+12,4/2/20 10:58,225,{}
1.58585E+12,4/2/20 11:01,226,{}
1.58585E+12,4/2/20 11:02,227,{}
1.58585E+12,4/2/20 11:05,228,{}
1.58585E+12,4/2/20 11:07,229,{}
1.58585E+12,4/2/20 11:08,230,{}
1.58585E+12,4/2/20 11:11,231,{}
1.58585E+12,4/2/20 11:17,232,{}
1.58585E+12,4/2/20 11:18,233,{}
1.58585E+12,4/2/20 11:18,234,{}
1.58585E+12,4/2/20 11:19,235,{}
1.58585E+12,4/2/20 11:21,236,{}
1.58585E+12,4/2/20 11:22,237,{}
1.58585E+12,4/2/20 11:26,238,{}
1.58585E+12,4/2/20 11:30,239,{}
1.58585E+12,4/2/20 11:35,240,{}
1.58585E+12,4/2/20 11:36,241,{}
1.58585E+12,4/2/20 11:36,242,{}
1.58585E+12,4/2/20 11:38,243,{}
1.58585E+12,4/2/20 11:39,244,{}
1.58585E+12,4/2/20 11:39,245,{}
1.58585E+12,4/2/20 11:40,246,{}
1.58585E+12,4/2/20 11:41,247,{}
1.58585E+12,4/2/20 11:41,248,{}
1.58585E+12,4/2/20 11:41,249,{}
1.58585E+12,4/2/20 11:42,250,{}
1.58585E+12,4/2/20 11:42,251,{}
1.58585E+12,4/2/20 11:42,252,{}
1.58585E+12,4/2/20 11:44,253,{}
1.58585E+12,4/2/20 11:44,254,{}
1.58585E+12,4/2/20 11:45,255,{}
1.58585E+12,4/2/20 11:48,256,{}
1.58585E+12,4/2/20 11:54,257,{}
1.58585E+12,4/2/20 11:57,258,{}
1.58585E+12,4/2/20 11:58,259,{}
1.58585E+12,4/2/20 12:01,260,{}
1.58585E+12,4/2/20 12:01,261,{}
1.58585E+12,4/2/20 12:05,262,{}
1.58585E+12,4/2/20 12:07,263,{}
1.58585E+12,4/2/20 12:11,265,{}
1.58585E+12,4/2/20 12:12,266,{}
1.58586E+12,4/2/20 12:17,267,{}
1.58586E+12,4/2/20 12:21,268,{}
1.58586E+12,4/2/20 12:32,269,{}
1.58586E+12,4/2/20 12:38,270,{}
1.58586E+12,4/2/20 12:49,271,{}
1.58586E+12,4/2/20 12:50,272,{}
1.58586E+12,4/2/20 12:55,273,{}
1.58586E+12,4/2/20 13:04,274,{}
1.58586E+12,4/2/20 13:11,275,{}
1.58586E+12,4/2/20 13:52,279,{}
1.58586E+12,4/2/20 13:52,278,{}
1.58586E+12,4/2/20 14:02,281,{}
1.58586E+12,4/2/20 14:06,282,{}
1.58586E+12,4/2/20 14:44,284,{}
1.58586E+12,4/2/20 14:44,285,{}
1.58586E+12,4/2/20 14:44,286,{}
1.58586E+12,4/2/20 14:53,287,{}
1.58586E+12,4/2/20 14:55,288,{}
1.58587E+12,4/2/20 15:13,289,{}
1.58587E+12,4/2/20 15:14,290,{}
1.58587E+12,4/2/20 15:14,291,{}
1.58587E+12,4/2/20 15:25,292,{}
1.58587E+12,4/2/20 15:25,293,{}
1.58587E+12,4/2/20 15:25,294,{}
1.58587E+12,4/2/20 15:28,295,{}
1.58587E+12,4/2/20 15:28,296,{}
1.58587E+12,4/2/20 15:28,297,{}
1.58587E+12,4/2/20 15:28,298,{}
1.58587E+12,4/2/20 15:29,299,{}
1.58587E+12,4/2/20 15:54,300,{}
1.58587E+12,4/2/20 16:20,301,{}
1.58587E+12,4/2/20 16:25,302,{}
1.58588E+12,4/2/20 18:41,304,{}
1.58588E+12,4/2/20 19:29,305,{}
1.58588E+12,4/2/20 19:34,306,{}
1.58588E+12,4/2/20 20:30,307,{}
1.58589E+12,4/2/20 21:38,308,{}
1.58589E+12,4/2/20 21:39,309,{}
1.58589E+12,4/2/20 21:41,310,{}
1.58589E+12,4/2/20 21:41,311,{}
1.58589E+12,4/2/20 21:52,316,{}
1.58589E+12,4/2/20 21:53,317,{}
1.58589E+12,4/2/20 21:58,318,{}
1.58589E+12,4/2/20 22:00,322,{}
1.58589E+12,4/2/20 22:02,323,{}
1.58589E+12,4/2/20 22:02,324,{}
1.58589E+12,4/2/20 22:03,327,{}
1.58589E+12,4/2/20 22:03,326,{}
1.58589E+12,4/2/20 22:03,325,{}
1.58589E+12,4/2/20 22:03,328,{}
1.58589E+12,4/2/20 22:03,329,{}
1.58589E+12,4/2/20 22:03,330,{}
1.58589E+12,4/2/20 22:25,331,{}
1.5859E+12,4/3/20 2:07,333,{}
1.5859E+12,4/3/20 2:07,334,{}
1.58592E+12,4/3/20 7:04,335,{}
1.58593E+12,4/3/20 7:52,337,{}
1.58593E+12,4/3/20 7:52,336,{}
1.58593E+12,4/3/20 7:53,338,{}
1.58593E+12,4/3/20 7:53,339,{}
1.58593E+12,4/3/20 8:24,340,{}
1.58593E+12,4/3/20 8:26,341,{}
1.58593E+12,4/3/20 8:26,342,{}
1.58593E+12,4/3/20 8:27,343,{}
1.58593E+12,4/3/20 8:27,344,{}
1.58593E+12,4/3/20 8:28,345,{}
1.58593E+12,4/3/20 8:31,346,{}
1.58593E+12,4/3/20 8:31,347,{}
1.58593E+12,4/3/20 8:32,348,{}
1.58593E+12,4/3/20 8:33,349,{}
1.58593E+12,4/3/20 8:33,350,{}
1.58593E+12,4/3/20 8:34,351,{}
1.58593E+12,4/3/20 8:34,352,{}
1.58593E+12,4/3/20 8:36,354,{}
1.58593E+12,4/3/20 8:37,355,{}
1.58593E+12,4/3/20 8:41,356,{}
1.58593E+12,4/3/20 8:41,357,{}
1.58593E+12,4/3/20 8:48,359,{}
1.58593E+12,4/3/20 8:48,360,{}
1.58593E+12,4/3/20 8:48,361,{}
1.58593E+12,4/3/20 8:57,362,{}
1.58593E+12,4/3/20 8:57,363,{}
1.58593E+12,4/3/20 8:58,364,{}
1.58593E+12,4/3/20 8:58,365,{}
1.58593E+12,4/3/20 9:13,366,{}
1.58593E+12,4/3/20 9:16,367,{}
1.58593E+12,4/3/20 9:17,368,{}
1.58593E+12,4/3/20 9:18,369,{}
1.58593E+12,4/3/20 9:23,370,{}
1.58593E+12,4/3/20 9:29,371,{}
1.58593E+12,4/3/20 9:30,372,{}
1.58593E+12,4/3/20 9:30,373,{}
1.58593E+12,4/3/20 9:30,374,{}
1.58593E+12,4/3/20 9:30,375,{}
1.58593E+12,4/3/20 9:30,376,{}
1.58593E+12,4/3/20 9:50,377,{}
1.58593E+12,4/3/20 9:59,378,{}
1.58593E+12,4/3/20 10:02,379,{}
1.58593E+12,4/3/20 10:07,380,{}
1.58593E+12,4/3/20 10:08,381,{}
1.58593E+12,4/3/20 10:11,382,{}
1.58593E+12,4/3/20 10:18,383,{}
1.58593E+12,4/3/20 10:18,384,{}
1.58593E+12,4/3/20 10:20,385,{}
1.58593E+12,4/3/20 10:21,386,{}
1.58594E+12,4/3/20 10:32,387,{}
1.58594E+12,4/3/20 10:36,388,{}
1.58594E+12,4/3/20 10:37,389,{}
1.58594E+12,4/3/20 10:44,390,{}
1.58594E+12,4/3/20 10:47,391,{}
1.58594E+12,4/3/20 10:56,392,{}
1.58594E+12,4/3/20 10:59,393,{}
1.58594E+12,4/3/20 11:04,394,{}
1.58594E+12,4/3/20 11:04,395,{}
